Rank,Title,Author,Rating,Rating Count,Score,People Voted,Image
84,The Brothers Karamazov,Fyodor Dostoevsky,4.38,354011,363231,3993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934._SX50_.jpg
85,And Then There Were None,Agatha Christie,4.28,1478776,354657,3892,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299._SY75_.jpg
86,A Tree Grows in Brooklyn,Betty Smith,4.30,485927,346673,3809,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891._SY75_.jpg
87,A Clockwork Orange,Anthony Burgess,4.00,739870,343991,3869,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486._SX50_.jpg
88,The Road,Cormac McCarthy,3.99,964988,338176,3710,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288._SY75_.jpg
89,To Kill a Mockingbird,Harper Lee,4.26,6507363,336376,3636,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654._SX50_.jpg
90,It,Stephen King (Goodreads Author),4.24,1191467,323613,3482,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502._SY75_.jpg
91,"The Shining (The Shining, #1)",Stephen King (Goodreads Author),4.28,1599745,321335,3544,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588._SY75_.jpg
92,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1572577,320554,3563,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322._SX50_.jpg
93,"Vampire Academy (Vampire Academy, #1)",Richelle Mead (Goodreads Author),4.11,664853,314333,3377,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627._SY75_.jpg
94,Siddhartha,Hermann Hesse,4.07,819204,313628,3492,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036._SY75_.jpg
95,The Complete Stories and Poems,Edgar Allan Poe,4.40,285879,308214,3480,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919._SY75_.jpg
96,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,643739,306836,3426,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577._SY75_.jpg
97,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,620256,304087,3394,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763._SY75_.jpg
98,Don Quixote,Miguel de Cervantes Saavedra,3.90,287604,300602,3406,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836._SX50_.jpg
99,The Old Man and the Sea,Ernest Hemingway,3.81,1225584,297519,3409,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg
100,The Poisonwood Bible,Barbara Kingsolver,4.10,766613,291845,3208,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244._SY75_.jpg
